gateway, tag, rssi, latitude, longitude, ts
ZH/a//4Ax58=,RAK4630-FDE9,-119,22.34953,114.17015,2022-12-14T10:51:35.649234886Z
ZH/a//4Ax50=,RAK4630-FDE9,-109,22.357,114.2196,2022-12-14T10:51:35.649234886Z
cnb/AC4HAWY=,RAK4630-FDE9,-116,22.3707136,114.11456,2022-12-14T10:51:35.649234886Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:51:35.649234886Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:51:43.117203493Z
y01BuvE4WuY=,RAK4630-FDE9,-90,22.3625704,114.119536,2022-12-14T10:51:51.238994029Z
ZH/a//4Af7A=,RAK4630-FDE9,-99,22.33821,114.19698,2022-12-14T10:51:58.218765436Z
cnb/AC4HAWY=,RAK4630-FDE9,-116,22.3707136,114.11456,2022-12-14T10:52:05.728652618Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:52:05.728652618Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:52:05.728652618Z
ZH/a//4Ax58=,RAK4630-FDE9,-114,22.34953,114.17015,2022-12-14T10:52:05.728652618Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:52:13.326200167Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:52:13.326200167Z
ZH/a//4Ax58=,RAK4630-FDE9,-117,22.34953,114.17015,2022-12-14T10:52:13.326200167Z
y01BuvE4WuY=,RAK4630-FDE9,-91,22.3625704,114.119536,2022-12-14T10:52:20.725371211Z
